"corpusid","externalids","url","title","authors","venue","publicationvenueid","year","referencecount","citationcount","influentialcitationcount","isopenaccess","s2fieldsofstudy","publicationtypes","publicationdate","journal","corpusid"
"23732922","{acl=null, dblp=null, arxiv=null, mag=2312550046, corpusid=23732922, pubmed=26985997, doi=10.1371/journal.pone.0151577, pubmedcentral=4795671}","https://www.semanticscholar.org/paper/d7531a02598d604283609139f8a139b6e2342f25","Metagenomic Analysis from the Interior of a Speleothem in Tjuv-Ante's Cave, Northern Sweden","[{authorid=6509444, name=Marie Lisandra Zepeda Mendoza}, {authorid=2060206447, name=Johannes E. K. Lundberg}, {authorid=3997537, name=M. Ivarsson}, {authorid=34783432, name=P. Campos}, {authorid=1850174, name=J. Nylander}, {authorid=7194043, name=T. Sallstedt}, {authorid=4699484, name=L. Dalén}]","PLoS ONE","0aed7a40-85f3-4c66-9e1b-c1556c57001b","2016","85","37","2","true","[{category=Environmental Science, source=s2-fos-model}, {category=Biology, source=s2-fos-model}, {category=Medicine, source=external}, {category=Biology, source=external}]","[JournalArticle]","2016-03-17","{name=PLoS ONE, pages=null, volume=11}","23732922"
"4821253","{acl=null, dblp=null, arxiv=null, mag=3098350502, corpusid=4821253, pubmed=29614109, doi=10.1371/journal.ppat.1006918, pubmedcentral=5882169}","https://www.semanticscholar.org/paper/cd72f0ae529dcff0784a1d6fd255dbb788824a8c","Mutations in the pantothenate kinase of Plasmodium falciparum confer diverse sensitivity profiles to antiplasmodial pantothenate analogues","[{authorid=12605664, name=Erick T. Tjhin}, {authorid=47924737, name=Christina Spry}, {authorid=49547753, name=Alan L Sewell}, {authorid=4782358, name=A. Hoegl}, {authorid=13448216, name=L. Barnard}, {authorid=2057222553, name=Anna E Sexton}, {authorid=40315056, name=G. Siddiqui}, {authorid=8630355, name=Vanessa M. Howieson}, {authorid=39424288, name=A. Maier}, {authorid=2790947, name=D. Creek}, {authorid=32909812, name=E. Strauss}, {authorid=123846743, name=R. Marquez}, {authorid=144884775, name=K. Auclair}, {authorid=6441376, name=K. Saliba}]","bioRxiv","027ffd21-ebb0-4af8-baf5-911124292fd0","2017","64","25","4","true","[{category=Biology, source=s2-fos-model}, {category=Medicine, source=s2-fos-model}, {category=Chemistry, source=external}, {category=Biology, source=external}, {category=Medicine, source=external}]","[JournalArticle]","2017-05-16","{name=PLoS Pathogens, pages=null, volume=14}","4821253"
"221342116","{acl=null, dblp=null, arxiv=null, mag=3046731036, corpusid=221342116, pubmed=32863914, doi=10.3892/ol.2020.11942, pubmedcentral=7436936}","https://www.semanticscholar.org/paper/f219abed8c3f24ffecc1b65fe7febeb31b857e23","Eukaryotic translation initiation factor 5A in the pathogenesis of cancers","[{authorid=2075391765, name=L. Ning}, {authorid=4493319, name=Lei Wang}, {authorid=2108598333, name=Honglai Zhang}, {authorid=7929276, name=Xuelong Jiao}, {authorid=49025727, name=Dong Chen}]","Oncology Letters","32d29099-0305-4734-b3ec-534d630e10ff","2020","157","15","0","true","[{category=Medicine, source=s2-fos-model}, {category=Biology, source=s2-fos-model}, {category=Medicine, source=external}]","[Review, JournalArticle]","2020-08-03","{name=Oncology Letters, pages=null, volume=20}","221342116"
"211473560","{acl=null, dblp=null, arxiv=null, mag=3005714460, corpusid=211473560, pubmed=32095336, doi=10.7717/peerj.8474, pubmedcentral=7020815}","https://www.semanticscholar.org/paper/98ca18f9bd73b48de96708759805fbfa3765d490","Comprehensive transcriptome analysis of reference genes for fruit development of Euscaphis konishii","[{authorid=48473620, name=Cheng-Long Yang}, {authorid=83559999, name=Xueyan Yuan}, {authorid=2159189902, name=Jie Zhang}, {authorid=48423847, name=Weihong Sun}, {authorid=1608976474, name=Zhongjian Liu}, {authorid=34207369, name=Shuangquan Zou}]","PeerJ","558a3215-8ffd-4b31-be7f-f653ca3b600d","2020","38","5","0","true","[{category=Biology, source=s2-fos-model}, {category=Environmental Science, source=s2-fos-model}, {category=Medicine, source=external}, {category=Biology, source=external}]","[JournalArticle]","2020-02-11","{name=PeerJ, pages=null, volume=8}","211473560"
"3691045","{acl=null, dblp=null, arxiv=null, mag=2512778199, corpusid=3691045, pubmed=27531837, doi=10.1101/lm.042564.116, pubmedcentral=4986855}","https://www.semanticscholar.org/paper/1b3ae4b97eea0013e4ef851e7a3f37ce64d28b67","An appetitive experience after fear memory destabilization attenuates fear retention: involvement GluN2B-NMDA receptors in the Basolateral Amygdala Complex","[{authorid=5418198, name=Roque I Ferrer Monti}, {authorid=6562360, name=Marcelo Giachero}, {authorid=6610190, name=J. M. Alfei}, {authorid=144258153, name=A. Bueno}, {authorid=4966041, name=G. Cuadra}, {authorid=34036628, name=V. Molina}]","Learning & memory (Cold Spring Harbor, N.Y.)","c0bd3472-da10-46f9-8fb4-e0ca22eb094e","2016","57","24","0","true","[{category=Biology, source=s2-fos-model}, {category=Psychology, source=s2-fos-model}, {category=Medicine, source=external}, {category=Psychology, source=external}]","[JournalArticle]","2016-09-01","{name=Learning & Memory, pages=465 - 478, volume=23}","3691045"
"17700636","{acl=null, dblp=null, arxiv=null, mag=2048649246, corpusid=17700636, pubmed=24499669, doi=10.5483/BMBRep.2014.47.3.272, pubmedcentral=4163876}","https://www.semanticscholar.org/paper/dcd1bd99ef78104db8d37a9fbbf4a008401c0a21","Perspectives on the therapeutic potential of short-chain fatty acid receptors","[{authorid=3287709, name=Sunhong Kim}, {authorid=14833998, name=Jeong-Hoon Kim}, {authorid=11642958, name=Bi-Oh Park}, {authorid=49222689, name=Y. Kwak}]","BMB Reports","dbbd6576-b1bc-47d0-86b4-e315b7c68239","2014","50","48","2","true","[{category=Biology, source=s2-fos-model}, {category=Medicine, source=s2-fos-model}, {category=Biology, source=external}, {category=Medicine, source=external}]","[Review, JournalArticle]","2014-03-01","{name=BMB Reports, pages=173 - 178, volume=47}","17700636"
"11780447","{acl=null, dblp=null, arxiv=null, mag=2060677877, corpusid=11780447, pubmed=23383297, doi=10.1371/journal.pone.0053192, pubmedcentral=3562192}","https://www.semanticscholar.org/paper/5d95a5b7ba90a5c5884e652dfa10526b3fc751b0","11β-Hydroxysteroid Dehydrogenase Type 1 Gene Knockout Attenuates Atherosclerosis and In Vivo Foam Cell Formation in Hyperlipidemic apoE−/− Mice","[{authorid=115462601, name=Ricardo A. García}, {authorid=5078396, name=D. Search}, {authorid=4700808, name=J. Lupisella}, {authorid=153526739, name=J. Ostrowski}, {authorid=48839169, name=Bo Guan}, {authorid=145471813, name=Jian Chen}, {authorid=7536256, name=Wen-pin Yang}, {authorid=3654868, name=Amy B. Truong}, {authorid=40372607, name=Aiqing He}, {authorid=31510143, name=Rongan Zhang}, {authorid=39905037, name=Mujing Yan}, {authorid=47291526, name=Samuel E. Hellings}, {authorid=4140624, name=Peter S. Gargalovic}, {authorid=5891143, name=Carol S. Ryan}, {authorid=50350251, name=L. Watson}, {authorid=3787976, name=Robert A. Langish}, {authorid=5765706, name=P. Shipkova}, {authorid=1471647443, name=N. Carson}, {authorid=2110315719, name=Joseph R. Taylor}, {authorid=153518035, name=Richard Z. Yang}, {authorid=40434303, name=G. Psaltis}, {authorid=5230920, name=T. Harrity}, {authorid=3999398, name=J. Robl}, {authorid=145823215, name=D. Gordon}]","PLoS ONE","0aed7a40-85f3-4c66-9e1b-c1556c57001b","2013","49","34","0","true","[{category=Medicine, source=s2-fos-model}, {category=Biology, source=s2-fos-model}, {category=Medicine, source=external}, {category=Chemistry, source=external}]","[JournalArticle]","2013-02-01","{name=PLoS ONE, pages=null, volume=8}","11780447"
"15886304","{acl=null, dblp=null, arxiv=null, mag=2465908347, corpusid=15886304, pubmed=27445734, doi=10.3389/fnbeh.2016.00139, pubmedcentral=4923148}","https://www.semanticscholar.org/paper/dd014f4f3c450d02b3435f4dfd617c03b3bbf0d3","Persistence of Gender Related-Effects on Visuo-Spatial and Verbal Working Memory in Right Brain-Damaged Patients","[{authorid=2864443, name=L. Piccardi}, {authorid=4418442, name=A. Matano}, {authorid=1399029254, name=G. D’Antuono}, {authorid=38378239, name=Dario Marin}, {authorid=6799419, name=P. Ciurli}, {authorid=5691696, name=C. Incoccia}, {authorid=3477325, name=P. Verde}, {authorid=3040042, name=P. Guariglia}]","Frontiers in Behavioral Neuroscience","810ce699-eb80-4394-8aac-a6d3c87840ed","2016","91","10","0","true","[{category=Psychology, source=s2-fos-model}, {category=Medicine, source=external}, {category=Psychology, source=external}]","[JournalArticle]","2016-06-28","{name=Frontiers in Behavioral Neuroscience, pages=null, volume=10}","15886304"
"2038329","{acl=null, dblp=null, arxiv=null, mag=2344053277, corpusid=2038329, pubmed=27200294, doi=10.3389/fonc.2016.00106, pubmedcentral=4846663}","https://www.semanticscholar.org/paper/063ed31b3dbbdc37b7d78d4506de393b1996ade1","Confronting the Care Delivery Challenges Arising from Precision Medicine","[{authorid=6463759, name=S. Temkin}, {authorid=2443984, name=P. Mainwaring}, {authorid=49808001, name=S. Gaillard}, {authorid=1970546, name=E. Kohn}, {authorid=144448906, name=S. Ivy}]","Frontiers in Oncology","fdeb07d1-a046-4a1a-98aa-167e7f8e667a","2016","40","3","0","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[Review, JournalArticle]","2016-04-27","{name=Frontiers in Oncology, pages=null, volume=6}","2038329"
"52893344","{acl=null, dblp=null, arxiv=null, mag=2892555091, corpusid=52893344, pubmed=30268833, doi=10.1016/j.ebiom.2018.09.023, pubmedcentral=6197722}","https://www.semanticscholar.org/paper/c773b6f870eabc86bbcb719e46f16683491fc09d","Development and validation of a radiomics signature for clinically significant portal hypertension in cirrhosis (CHESS1701): a prospective multicenter study","[{authorid=16678490, name=Fuquan Liu}, {authorid=38611833, name=Zhenyuan Ning}, {authorid=47909205, name=Yanna Liu}, {authorid=3063529, name=Dengxiang Liu}, {authorid=1470565241, name=Jie Tian}, {authorid=8511388, name=Hong-wu Luo}, {authorid=39950206, name=W. An}, {authorid=2108692242, name=Yifei Huang}, {authorid=2114313618, name=Jialiang Zou}, {authorid=73324123, name=Chuan Liu}, {authorid=2144900213, name=Changchun Liu}, {authorid=2152509447, name=Lei Wang}, {authorid=3168855, name=Zaiyi Liu}, {authorid=47406292, name=Ruizhao Qi}, {authorid=28587302, name=Changzeng Zuo}, {authorid=79389096, name=Qingge Zhang}, {authorid=152924981, name=Jitao Wang}, {authorid=153432980, name=Dawei Zhao}, {authorid=2111768341, name=Y. Duan}, {authorid=2054592066, name=Baogang Peng}, {authorid=145386714, name=X. Qi}, {authorid=49889820, name=Yuening Zhang}, {authorid=2144209979, name=Yongping Yang}, {authorid=2363503, name=J. Hou}, {authorid=79564915, name=Jiahong Dong}, {authorid=121544523, name=Zhiwei Li}, {authorid=2113455241, name=Huiguo Ding}, {authorid=66562490, name=Yu Zhang}, {authorid=6860314, name=Xianghui Qi}]","EBioMedicine","ee1ffcf9-667a-4b07-8b57-b01287b3797d","2018","35","49","1","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[Study, JournalArticle]","2018-09-27","{name=EBioMedicine, pages=151 - 158, volume=36}","52893344"
